,Factual,PPLM,Polyjuice,RELITC,Mask,Label,Target
11,"Core inflation, which excludes energy and food prices, has been running close to 1½ percent.","Core inflation, which excludes energy and food prices, has been flat for six consecutive months, despite higher oil prices.

core inflation for july, july 2017 was 1.6%","Core inflation, which excludes energy and food prices, has been around running close to 1½ percent.",,False,0,2
12,"These participants cited, for example, the still-elevated levels of long-term unemployment and workers employed part time for economic reasons as well as low labor force participation.","These participants cited, for example, the still-elevated levels of long-term unemployment and workers' comp that have led to a significant number of workers not being paid for time that they actually spent on job training or continuing","For example, there were 65 members in the first year, 91 members at the end of the second year and 106 members in the third year.",,False,0,2
13,Members agreed that they would continue to closely monitor inflation indicators and global economic and financial developments.,"Members agreed that they would continue to closely monitor inflation and exchange rates during the next few months. inflation, which was expected to fall from 2.8 percent in october to",Members agreed that they would continue to collect and monitor inflation indicators and global economic and financial developments.,Members agreed that they would continue to closely monitor inflation indicators and global economic and technological developments.,True,2,0
14,Participants agreed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,"Participants agreed that the labor market had remained strong over the past four years and that labor market conditions were improving. however, there had been signs that the unemployment rate was increasing. the",Participants agreed empty.,Participants observed that the labor market had remained strong over the intermeeting period and that economic activity had risen at a moderate rate.,True,2,0
15,The effects of the saving outflow may thus have been felt disproportionately on U.S. interest rates and the dollar.,"The effects of the saving outflow may thus have been underestimated by the authors. they estimated the effect from savings by taking into account all the effects of inflation, saving and consumption,","The effects of the law will vary widely, and they may thus have been felt disproportionately on u.s. interest rates and the dollar.",,False,0,2
16,"Also, in the view of a number of participants, the economy was possibly producing in the neighborhood of its potential, and the persistent strength in spending of late suggested that resource markets could tighten further and inflation pressures build.","Also, in the view of a number of participants, the economy was possibly producing in the neighborhood of its potential. it was hard to tell what that could translate into.

""the economy in china was still not growing fast","Also, in the view of a number of participants, the the economy was possibly producing in the neighborhood of its potential, and the persistent strength in spending of late suggested that resource markets could tighten further and inflation pressures build.",,False,1,2
17,"Moreover, inflation was running at a fairly low rate and quite possibly would edge down a little further over coming quarters.","Moreover, inflation was running at a fairly low rate and there were not that many other people to blame for it.

""if you're a small family and you're living","However, it was a legal ceremony and not a spiritual one.",,False,0,2
18,"that is, the capacity utilization rate is lower than would have been expected, based on past experience, at the prevailing unemployment rate.","That is, the capacity utilization rate is lower than would have been expected given the size of the cohort; the difference is substantial and the magnitude of the difference is much larger than that observed","This is, the capacity utilization rate is lower than would have been expected, based on past experience, at the prevailing unemployment rate.",,False,0,2
19,Hungary and Poland adopted inflation targeting following parliamentary acts stipulating that price stability was the main objective for the central bank.,"Hungary and poland adopted inflation targeting following parliamentary acts stipulating that they should be measured in the currency used in the country (the lira).

the measures will be implemented from","Hungary and poland adopted inflation targeting following parliamentary acts , that price stability was the main objective for the central bank.",,False,1,2
20,"1 The longer-run projections represent each participant's assessment of the rate to which each variable would be expected to converge, over time, under appropriate monetary policy and in the absence of further shocks to the economy.",1 the longer-run projections represent each participant's assessment of the rate to which each variable would be expected to change by 2025. the more detailed projections for each participant reflect the individual participant's own estimates. this is not meant to,"1 the short-lived-run projections represent each participant's assessment of the rate to which each variable would be expected to converge, over time, under appropriate monetary policy and in the absence of further shocks to the economy.","1 the longer - run projections represent each participant's view of the extent to which each variable would be expected to remain, over time, under appropriate monetary pressure and in the absence of further shocks to the economy.",True,2,1
21,And I fully expect it will return to solid growth and a solid labor market as well.,"And i fully expect it will return to solid growth again over the next year or two.

in other words, the price of bitcoin could climb much higher in the coming",And i expect it will return to solid growth and a solid labor market as well.,And i fully expect it will lead to solid growth and a solid labor shortage as well.,True,2,1
22,"However, other measures of labor utilization--including the labor force participation rate and the numbers of discouraged workers and those working part time for economic reasons--suggested more modest improvement, and other indicators of labor demand, such as rates of hiring and quits, remained low.","However, other measures of labor utilization--including the labor force participation rate and the numbers of discouraged workers and those working part time--have also shown a drop. the percentage of the employed aged 18-54, for example, has declined to 62","However, other measures of labor utilization--including the labor force participation rate and the numbers of discouraged workers and those working part time for economic reasons--suggested more modest improvement, and other indicators of labor demand, such as rates of hiring, remained low.","However, other measures of labor utilization - - including the labor force participation rate and the numbers of discouraged workers and those employed part time for economic reasons - - suggested more modest improvement, and other indicators of labor demand, such as rates of hiring and quits, remained low.",True,2,0
23,"The productivity boom after the Civil War resulted from a variety of technological advances, including the expansion of and improvements in the use of steam power, railroad transportation, and communication by telegraph.","The productivity boom after the civil war resulted from a variety of technological advances, including the printing press and the telegraph, which facilitated communication.

the industrial revolution that began in 1849 was driven by new",The productivity of matthew was a lot better than steven because matthew was a lot less productive in the civil war.,"The productivity boom after the civil war resulted from a variety of technological advances, including the expansion of and improvements in the use of steam power, railroad transportation, and communication by telegraph.",True,2,0
24,"But if the economy instead began to overheat, threatening to push inflation to an undesirably high level, the FOMC would have ample scope to respond through tighter monetary policy.","But if the economy instead began to overheat, threatening to push inflation to an all-time high, there were plenty of ways to save.

first there was the federal reserve. inflation-","If the economy began to overheat, the dollar began to overheat, and the fed would have to raise interest rates to keep the economy growing.",,False,1,2
25,"Several other participants, however, noted that increases in excess reserves or the monetary base, by themselves, might not have a significant stimulative effect on the economy or prices because the normal bank intermediation mechanism appeared to be impaired, and banks may not be willing to lend their excess reserves.","Several other participants, however, noted that increases in excess reserves or the monetary base, by themselves, might not have a significant stimulative effect on economic growth. these include:

a study published in the journal journal of the american medical association, published in october 2010","However, other studies were submitted to the federal power commission by the congress and power authority of new york.","Many market participants, however, noted that increases in excess reserves in the monetary base, by themselves, might not have a significant stimulative effect on the economy or prices because the normal bank intermediation mechanism appeared to be impaired, and banks may not be willing to lend their excess reserves.",True,2,1
26,"Members referred, however, to a number of favorable factors that should continue to support at least moderate further growth in business investment, including the attractive pricing of and ongoing rapid technological improvements in computer and communications equipment and the wide availability of equity and debt financing on favorable terms to business firms.","Members referred, however, to a number of favorable factors that should continue to support at least moderate further growth in business investment, including the attractive pricing structure of the housing market, continued improvement of the labor market, and the ability of companies to attract qualified workers.

","Members referred, however, to a number of favorable factors that should continue to support at least moderate further growth in business investment, including the growing attractive pricing of and ongoing rapid technological improvements in computer and communications equipment and the wide availability of equity and debt financing on favorable terms to business firms.",,False,2,1
27,"One participant suggested that the Committee could announce an additional, lower set of thresholds for inflation and unemployment","One participant suggested that the committee could announce an additional, $2,000 reward for each of the three participants who would have the most successful presentations in front of a national audience.",One participant suggested that the committee could adopt the same lower set of rules for threshold for inflation and unemployment.,"One participant suggested that the committee could announce an earlier, lower set of thresholds for inflation and unemployment",True,2,0
28,"Indicators of supply and demand conditions for small business credit were generally unchanged over the past quarter, with demand appearing to remain weak.","Indicators of supply and demand conditions for small business credit were used to estimate the number of business credit accounts for small businesses. credit accounts were identified by checking account, personal savings account,","The characteristics of the underlying supply and demand curve are, in most cases, vertical and downward-sloping.","The real wage and demand rates for small business owners were generally unchanged over the past months, with demand appearing to remain strong.",True,2,1
29,"Survey measures of expected future inflation were fairly stable,","Survey measures of expected future inflation were fairly stable, rising 2.9 percent in 2015 compared with 2.7 percent in 2014. the rate of increase was driven by higher consumer","Survey measures of expected future inflation include fairly stable,","Survey measures of expected future inflation were fairly stable,",True,2,0
30,"As we all know, starting in late February or March of last year, widespread economic and social lockdowns and other effects of the pandemic caused the swiftest and deepest contraction in employment and economic activity since the Great Depression.","As we all know, starting in late february or march of last year, widespread economic and social lockdowns and economic crisis were underway. the global financial system was in chaos.

the united states was in the midst of what became","As we all know, beginning in late february or march, there is a major increase in the number of jobs for manufacturing and mining construction.",,False,0,2
31,"Business contacts in a number of Districts noted an improvement in housing activity and a continued rise in house prices, although their reports showed that the pace of sales and construction varied across regions.","Business contacts in a number of districts noted an improvement in housing activity and a continued rise in business activity during the year ended 31 june 2015.

the number of businesses that were open for business increased from 5","Business contacts in a number of districts noted an improvement in housing activity and a continued rise in house prices, although their reports showed that empty varied across regions.",,False,1,2
32,"Assisted by the whole array of market prices, entrepreneurs seek to identify the types of products and services that individuals will value, especially the added value placed on products and services that customers find better tailored to their particular needs, delivered in shorter time frames, or improved in quality.","Assisted by the whole array of market prices, entrepreneurs seek to identify the types of products and services that individuals will value, especially the ones that offer the least cost and risk of error.

the market price of a given product depends on a number of","Entrepreneurs seek out the added value placed on products and services that customers find better suited to their particular needs, delivered in shorter time frames or improved in quality.","Assisted by the whole array of market prices, entrepreneurs seek to identify the types of products and services that individuals will value, especially the added value placed on products and services that customers find better suited to their particular needs, delivered in shorter time frames, or improved inventory quality.",True,2,0
33,Some participants noted that communications about the appropriate path of policy would be a focus of market participants in the current environment and commented that it would be important to emphasize that the Committee's reaction function or commitment to its monetary policy framework had not changed.,Some participants noted that communications about the appropriate path of policy would be a focus of market participants in the current environment and that the current process would be more likely to produce a better product. this would be a positive development for a company that wants,Some participants noted that communications about the appropriate path of policy would be a focus of market participants in the current environment and commented on how it would be important to emphasize that the committee's reaction function or commitment to its monetary policy framework had not changed.,Most participants noted that concerns about the likely prospect of higher spending heightened the expectations of meeting participants in the current environment and commented that it would be important to emphasize that the committee's reaction function or commitment to its monetary policy framework had not changed.,True,2,1
34,"Implications for Monetary Policy In summary, there appears to be some possibility that the recent trend toward disinflation will continue, primarily because of the potentially large amount of economic slack in the system.","Implications for monetary policy in summary, there appears to be some possibility that the recent trend in nominal gdp growth will be sustained for some time. the longer the current trend continues, the more it may be appropriate to","Implications for future policy in summary, there appears to be some possibility that the recent trend toward disinflation will continue, primarily because of the potentially large amount of economic slack in the system.",,False,0,2
35,"However, I can provide you with some insight into the way the FOMC functions and the impact of monetary policy on the U.S. and global economies.","However, i can provide you with some insight into the way the fomc will react to these changes. as i understand it, the fed will likely be more conservative in its approach than it would be","However, i can not provide any insight into the way the fomc actually works.","First, i can provide you with some insight into the way the fedsac functions and the impact of rising oil prices on u. s. and global growth.",True,2,1
36,"To anticipate a bubble about to burst requires the forecast of a plunge in the prices of assets previously set by the judgments of millions of investors, many of whom are highly knowledgeable about the prospects for the specific companies that make up our broad stock price indexes.","To anticipate a bubble about to burst requires the forecast of a plunge in the prices of assets previously set by the judgments of the courts that have been handed down.

the court judgments are the final arbiters in any case. they can be","To anticipate a bubble about to burst requires the forecast of a plunge in the prices of assets previously set by the judgments of millions of high-frequency traders, many of whom are highly knowledgeable about the prospects for the specific companies that make up our broad stock price indexes.","To lift down the inflation risk of foreign borrowing requires the easing of a plunge in the prices of assets previously set by a matter of millions of investors, many of whom are highly knowledgeable about the prospects for the specific companies that make up our broad stock price indexes.",True,2,1
37,Consumer price inflation was being held down by weaker demand and significantly lower oil prices.,"Consumer price inflation was being held down by weaker demand in the uk, according to a survey of economists.

the survey, conducted by standard chartered, found that consumer",Consumer price inflation was being held down in the face of weaker demand and significantly lower oil prices.,,False,0,2
38,Much of this performance was fueled by an investment boom that also contributed importantly to rapid growth in labor productivity.,"Much of this performance was fueled by an investment boom in china, but the u.s. was one the main beneficiaries as well. according to the center for strategic and international","Much of this performance was directed by an experienced actor, ira levin, who also wrote the screenplay.",,False,0,2
39,"Many members concluded that because there did not seem to be any urgency to tighten current policy for domestic reasons, given the likelihood that inflation would remain subdued for a while, important weight should be given to potential reactions abroad.","Many members concluded that because there did not seem to be any urgency to tighten current policy for domestic reasons, the need for such regulation was minimal.

the study said: ""the fact that many members of the house of commons","The members of the united methodist church gather in laichingen, while the catholics of the parish of st. joseph are assigned in bad urach.",,False,0,2
40,"With the Committee in the process of reviewing its monetary policy strategies and communication, and no additional accommodation being provided at this meeting, a few members indicated that they could support the Committee's decision even though they had not favored recent policy actions.","With the committee in the process of reviewing its monetary policy strategies and communication, and no additional accommodation being provided at the bank for international settlements, the swiss national bank, through its president, has announced that it will continue to maintain a","With the committee in the process of reviewing its monetary policies, and no additional accommodation being provided at this meeting, a few members indicated that they could support the committee's decision even though they had not favored recent policy actions.",,False,2,1
41,"In addition, increases in oil prices were expected to pass through to consumer energy prices.","In addition, increases in oil prices were expected to pass $100 per barrel within two years of the first opec oil output cut, and to reach parity at $90 by 2025 —","In addition, higher oil prices have increased the cost of energy in the future.",,False,1,2
42,"Another participant mentioned, however, that recent sluggish growth of the monetary aggregates suggested that the stance of policy was not overly accommodative.","Another participant mentioned, however, that recent sluggish growth of the monetary base of the european central bank has made it increasingly difficult for banks to raise new debt from investors. this may explain why some","Another participant mentioned, however, that recent sluggish growth of the monetary aggregates suggested that the stance of the policy in question was not overly accommodative.",,False,0,2
43,"In this case, there may be no problem for monetary policy.","In this case, there may be no problem for monetary authorities to intervene but the question is: what are the consequences?

for example, if the value of the property increases","In the above case, there may be no problem for monetary policy.","In any case, this projected growth has implications for monetary policy.",True,2,1
44,"This allows the economy to operate at a higher utilization rate without inflationary consequences, at least until the higher productivity is fully anticipated in wage bargaining or until productivity growth stops accelerating.","This allows the economy to operate at a higher utilization rate without inflationary consequences, at least until such time as the labor market recovers fully.""

in the united states, the employment rate is typically lower when the","This allows the economy to grow, without worrying about the inflation rate, by stimulating the contraction rate.","This allows the economy to operate at a higher utilization rate without inflationary consequences, at least until the higher productivity is fully anticipated in wage bargaining or until productivity growth stopseding.",True,2,0
45,Such increases in productivity along with slack in foreign economies contributed to the very strong competition in most markets that was continuing generally to suppress efforts to raise prices.,"Such increases in productivity along with slack in foreign economies contributed to the very rapid increase in real gdp, which rose from 0.9 percent of gdp to 2.3 percent.

the growth",Such increases in productivity along with slack in foreign labor-force participation contributed to the very strong competition in most markets that was continuing generally to suppress efforts to raise prices.,Such gains in productivity along with slack in foreign economies contributed to the very strong competition in most markets that was continuing generally to finance efforts to raise prices.,True,2,1
46,"In response to the resulting high inflation, the Fed was obliged to raise interest rates, and the economy weakened.","In response to the resulting high inflation, the fed was able to buy government debt. as a result, the u.s. stock market has soared, while inflation has dropped.","In response to the negative high inflation, the fed was obliged to raise interest rates, and the economy weakened.",,False,1,2
47,"When the Committee decides to begin to remove policy accommodation, it will take a balanced approach consistent with its longer-run goals of maximum employment and inflation of 2 percent. ""","When the committee decides to begin to remove policy accommodation, it will take a balanced approach to both the policy and its impact on the individuals and communities affected by such policies. we will not remove policies from the","As the committee draws to its present conclusions on the relationship between the legislature and the court, it will take into account the longer-term consequences of these social and political changes.",,False,1,2
48,"also, continued solid economic growth abroad was expected to boost the growth of U. S. exports for some period ahead.","Also, continued solid economic growth abroad was expected to boost growth overseas, but that was not the main driver for foreign growth

and,

the u.s. economy","Also, continued solid economic growth abroad was expected to boost the growth of u. s. exports to some period ahead.",,False,0,2
49,"It was suggested that the weakening expansion of expenditures in these capital goods might reflect a surfeit in capacity following a period of extraordinary growth in many industries--for example, those related to fiber optics.","It was suggested that the weakening expansion of expenditures in these capital goods might reflect a surfeit of capital among private-sector firms in the first quarter of 2013. however, data from the federal reserve bank of new york","It was suggested that the increase in the remuneration forints in these goods reflect a fall in the cost of upgrading their infrastructure, in some cases leading to deterioration in their performance.","It is feared that the weakening expansion in expenditures in these capital goods might reflect a surfeit in capacity following a period of extraordinary growth in many industries - - for example, those related to fiber optics.",True,2,1
50,Although the unemployment rate edged up to 5.,"Although the unemployment rate edged up to 5.7 percent in august, the rate remained below the 5.8 percent mark it reached in july.

in august 2016",Empty the unemployment rate rose to 5.,,False,0,2
51,"On a 12-month basis, both overall inflation and core inflation, which excludes changes in food and energy prices, had remained near 2 percent.","On a 12-month basis, both overall inflation and core inflation, which is the measure of what's going on in the economy, have remained at historically low levels. the fed is forecasting that inflation","On a 12-month basis, both overall inflation and core inflation, which excludes the effects of forced spending cuts, had remained near 2 percent.","On a 12 - month basis, both overall inflation and core inflation, which excludes changes in food and energy prices, had remained near 2 percent.",True,2,1
52,Several participants reported that business contacts had expressed growing concerns about the increase in their input costs and that there were signs that an increasing number of firms were seeking to pass on these higher costs to their customers in the form of higher prices.,"Several participants reported that business contacts had expressed growing concerns about the increase in their input costs and that there were signs that business had lost confidence in its ability to make significant payments.

the report did not provide further details about how the",Several participants reported that business contacts had expressed growing concerns about the increase in the value of their input costs and that there were signs that an increasing number of firms were seeking to pass on these higher costs to their customers in the form of higher prices.,,False,1,2
53,"Now, with inflation below 2 percent, I think it’s appropriate that the labor market be that tight.","Now, with inflation below 2 percent, i think it’s appropriate to talk about inflation.

what's the big difference between the federal reserve's policy in 2009-2011 and what it","And, with inflation coming close to 2 percent, i think it's not too farfetched to suggest that the labor market is in trouble.",,False,0,2
54,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the SOMA in accordance with the following domestic policy directive: ""Consistent with its statutory mandate, the Federal Open Market Committee seeks monetary and financial conditions that will foster maximum employment and price stability.","At the conclusion of the discussion, the committee voted to authorize and direct the federal reserve bank of new york, until it was instructed otherwise, to execute transactions in the soma and the nyse.

the committee also authorized and directed the federal reserve bank of san francisco, until it was instructed","At the conclusion of the discussion, the committee votes to authorize and encourage the use of the fbi to support the operations of the fbi in accordance with the following domestic and foreign policy guidelines:",,False,0,2
55,"Recent data suggested that growth of household spending had picked up, while business fixed investment had continued to grow strongly.","Recent data suggested that growth of household spending had picked up from the trough seen in 2010. however, it was unclear whether this growth would last through the first quarter and if there",This is a list of the etymology of street names in covent garden district of london.,,False,1,2
56,The ultimate responsibility for price stability rests with the Federal Reserve.,"The ultimate responsibility for price stability rests with the federal reserve board, with a few exceptions.

in recent months the central bank has been pushing to maintain the near-zero",The ultimate responsibility for price stability rests with the the federal reserve.,The ultimate responsibility for price stability rests with the federal reserve.,True,2,0
57,"Because inflation expectations are now more firmly tied down, surges and declines in energy prices do not significantly affect core inflation and thus do not force a policy response to inflation to the extent they did three decades ago.","Because inflation expectations are now more firmly tied down, surges and declines in energy prices do not significantly affect the value of the us dollar.

in contrast, the us treasury department's (treasury's data is used to","The most important energy parts are in thermal and kinetic losses, the two others are negligible.",,False,0,2
58,"And those don’t—those, frankly, don’t carry significant implications in the long run for the—for inflation or for the American economy.","And those don’t—those, frankly, don’t carry significant implications in the real world that i want to make clear. in fact, if you read my previous blog posts, it seems like i'm","But those don’t—those, frankly, don’t carry significant implications in the long run for the—for inflation or for the american economy.","If those conditions become more favorable, however, they can carry significant implications in the long run for theafor inflation or for the american economy.",True,2,1
59,"Indeed, the website of the Central Bank of Brazil explicitly acknowledges the role of inflation in driving financial innovations that enabled firms and households to economize on cash balances in that country.","Indeed, the website of the central bank of brazil explicitly acknowledges the role of inflation in the growth of the real economy, with a chart that shows how much the price of a basket of goods is driven upward by","Indeed, the website of the central bank of brazil is located in managua, which is in the northern part of the city of rio de janeiro.","Moreover, the website of the central bank of brazil explicitly acknowledges the role of inflation in driving financial innovations that enabled firms and households to economize on debt balances in that country.",True,2,0
60,"Moreover, many members saw some risk that an easing move at this point might trigger a strong further advance in stock market prices that would not be justified on the basis of likely future earnings and could therefore lead to a relatively sharp and disruptive market adjustment later.","Moreover, many members saw some risk that an easing move at this point might trigger a strong further advance in stock market prices that would lead directly to higher interest rates. the prospect of the u.s. federal reserve easing monetary policy further to support growth","Furthermore,, many members saw some risk that an easing move at this point might trigger a strong further advance in stock market prices that would not be justified on the basis of likely future earnings and could therefore lead to a relatively sharp and disruptive market adjustment later.","Moreover, many participants saw some risk that an easing move at this point might trigger a strong further advance in stock market prices that would not be justified on the basis of likely increased earnings and could therefore lead to a relatively sharp and disruptive market adjustment later.",True,2,1
61,Most FOMC participants anticipate that inflation will gradually move up to the FOMC's 2 percent target over coming years.,"Most fomc participants anticipate that inflation will gradually move up to 2 percent over the next several years. inflation, which is measured in the consumer price index, is generally expected to",Most fomc participants anticipate that inflation will gradually move up to the fomc's 2 percent target over the next few years.,,False,0,2
62,The unemployment rate fell to 5.,"The unemployment rate fell to 5.7 percent in august, down from 5.9 percent a month earlier.

the unemployment rate is the number that separates",The unemployment rate rate fell to 5.,,False,1,2
63,"Because long-term interest rates can remain low only in a stable macroeconomic environment, these goals are often referred to as the dual mandate",Because long-term interest rates can remain low only in a stable currency (e.g. dollar or euro) or the economy is stable (e.g. u.s. dollar,"While long-term planning is central to the democratic strategy of the republican party, women have begun to embrace it.","Because short - term interest rates can remain low only in a stable macroeconomic environment, these goals are often referred to as the dual mandate",True,2,0
64,"At the time of our FOMC meeting in January, prospects for continued economic growth remained favorable, and we judged that monetary policy was well positioned to support that outlook.","At the time of our fomc meeting in january, prospects for continued economic growth in the fourth quarter fell sharply, with the s&p/case-shiller index down 1.3 percent, the","At the time of our fomc meeting, the outlook was bleak for growth, and we expected it to continue to grow.",,False,0,2
65,"Although participants considered it unlikely that the economy would reenter a recession, many expressed concern that output growth, and the associated progress in reducing the level of unemployment, could be slow for some time.","Although participants considered it unlikely that the economy would reenter a recession, many expressed concern that output would be weak for a number of reasons. inflation, which was expected to be relatively high, was expected to remain low","Although participants considered it unlikely that the economy would reenter a recession, many expressed concern that output growth, and the associated progress in the reducing the level of unemployment, could be slow for some time.",,False,0,2
66,"For example, core CPI (consumer price inflation) prices fell 0.4 percent in April, the largest monthly decrease since the beginning of the series in 1957.","For example, core cpi (consumer price inflation) prices fell 0.4 percent in november from the previous month's rate of 0.7 percent. consumer price indexes for all goods and services rose by 0.","For example, core cpi (consumer price inflation) prices fell 0.4 percent in april, the largest monthly decrease since beginning of the series in 1957.",,False,0,2
67,A widespread view that the Federal Reserve would take whatever steps were needed to hold down inflation over time probably had contributed to the persistence of subdued long-run inflation expectations during an extended period when rapidly rising demand was pressing on limited supply resources.,"A widespread view that the federal reserve would take whatever steps were needed to hold down inflation over time probably had contributed to the recent slowdown in growth, but economists who have studied such scenarios say it is not necessarily the case.

""",This view is common in northern india and parts of southern india.,A widespread view that the federal reserve would take whatever steps were needed to hold down inflation over time probably had contributed to the persistence of subdued long - run inflation expectations during an extended period when rapidly rising demand was pressing on limited supply resources.,True,2,0
68,"As illustrated by the left-hand panel of figure 6, since 2000, both FOMC participants and respondents to the Blue Chip survey have markedly reduced their projections of the level of real short-term interest rates expected to prevail in the longer run.","As illustrated by the left-hand panel of figure 6, since 2000, both fomc participants and respondents to the blue chip survey (which was not a survey of any kind) have had their views of monetary policy set in motion by the federal reserve","As illustrated by the left-hand panel of figure 6, since 2000, both fomc participants and respondents to the blue chip survey have markedly reduced their projections of actual level of real short-term interest rates expected to prevail in the longer run.",,False,0,2
